cand_id,cand_name,gu,dongs,n_seed,n_dong_scope,n_calls_scope,before,delta,rate_pct,rate_sd,rate_lo,rate_hi,interval,sample_ok,total_delta_min,n_overlap,rank_rate,rank_total,rate_total_pct,rate_total_sd,before_total,after_total,obs_total_min,sim_obs_ratio,ref_grade,ref_gap_prev,ref_threshold_prev
368,역삼1문화센터 공영주차장(구),강남구,강남구 역삼1동,3,17,2670,14.913238046236446,-0.7168801291760586,-4.801934028954367,1.0565258643951285,-6.296087235379915,-3.307780822528819,-4.80% ± 1.49%p,True,-1914.0699449000765,165,31,79,-5.532678714344918,1.1306542470987422,18.236732482910156,17.22560437520345,57.96624020314516,0.31460954546989334,하,0.016749313337715677,2.2738106213896874
294,방배노인종합복지관,동작구,동작구 사당1동 · 동작구 사당4동,3,20,2369,14.14611179346978,-0.6763450475082836,-4.779251139831625,0.7586270462526494,-5.852111797425163,-3.7063904822380866,-4.78% ± 1.07%p,True,-1602.261417547124,125,32,149,-6.190902121735142,1.1445219259900217,18.058359146118164,16.938622792561848,52.0091108861075,0.3472153020585832,하,0.02268288912274219,2.6013549526674695
281,공공업무시설,강남구,강남구 삼성1동 · 강남구 삼성2동 · 강남구 청담동,3,18,2262,14.710016257802243,-0.7026574581084309,-4.776740875925175,0.42305275709117796,-5.375027822602849,-4.178453929247501,-4.78% ± 0.60%p,True,-1589.4111702412708,87,33,153,-5.435202851905121,0.6086092019175331,18.40013249715169,17.399787267049152,52.98400165510863,0.3472771388036068,하,0.0025102639064495946,1.737226099951836
126,고분다리전통시장 주차장(구),강동구,강동구 암사1동 · 강동구 천호1동 · 강동구 천호3동,3,19,4648,12.135447165338599,-0.5773942289239861,-4.756650334521436,0.5623084529529692,-5.551874574924558,-3.9614260941183135,-4.76% ± 0.80%p,True,-2683.728376038687,99,34,6,-6.101996626759316,0.88314255662048,16.095648447672527,15.112589518229166,37.141923893178905,0.4333552697475772,하,0.020090541403739337,1.4073584213622465
462,구룡공영주차빌딩(구),서초구,서초구 양재2동,3,12,2413,15.01192412164503,-0.6994270830830244,-4.652596862953229,1.3507972480693933,-6.562912651189219,-2.742281074717239,-4.65% ± 1.91%p,True,-1687.7175514793378,214,35,129,-5.790163334559497,1.3101292194476857,18.45355224609375,17.381855010986328,54.78684221142291,0.3368245275915215,하,0.1040534715682071,2.9263246584439035
388,풍납유수지(구),송파구,송파구 가락1동 · 송파구 가락본동,3,22,4635,12.944962894041813,-0.6012737240443956,-4.64434984491194,0.4958424228719398,-5.345576924137372,-3.943122765686507,-4.64% ± 0.70%p,True,-2786.9037109457736,99,36,3,-7.229650203347842,0.9332600925664571,18.067284901936848,16.759236017862957,42.503404343789214,0.42507853619911085,하,0.008247018041289245,2.8778553915798906
611,방화역(서),강서구,강서구 방화3동,3,5,2687,11.637111370933646,-0.540039468490224,-4.629966462985618,1.1482097098678283,-6.253780207129178,-3.006152718842059,-4.63% ± 1.62%p,True,-1451.086051833232,195,37,179,-5.742853873566919,1.3448336326178378,16.785341262817383,15.822197596232096,37.809772337491985,0.44394187600471535,하,0.01438338192632127,2.5013958072678366
610,방화역(동),강서구,강서구 방화1동,3,5,2687,11.637111370933646,-0.540039468490224,-4.629966462985618,1.1482097098678283,-6.253780207129178,-3.006152718842059,-4.63% ± 1.62%p,True,-1451.086051833232,195,37,179,-5.742853873566919,1.3448336326178378,16.785341262817383,15.822197596232096,37.809772337491985,0.44394187600471535,하,0.0,3.247627488287119
237,구산동도서관마을,은평구,은평구 대조동,3,14,4572,11.802569842287859,-0.5435932928711894,-4.603391016116658,0.5403174826069177,-5.367515328006649,-3.8392667042266657,-4.60% ± 0.76%p,True,-2485.308535007078,108,39,12,-6.273817951947652,0.5017085992816155,15.907602945963541,14.907814343770346,37.78176224352015,0.4210391999036999,하,0.02657544686896074,2.537974404792483
592,개화산역,강서구,강서구 방화2동,3,5,2687,11.637111370933646,-0.535213524136419,-4.596588133152669,0.27587524456268026,-4.986734645536206,-4.206441620769132,-4.60% ± 0.39%p,True,-1438.1187393545579,82,40,181,-5.894536119269126,0.7357013793653054,16.785341262817383,15.79713503519694,37.809772337491985,0.44394187600471535,하,0.006802882963988566,1.2133427093335096
437,독산1동 공영주차장(구),금천구,금천구 독산1동,3,18,2851,12.46743023258678,-0.5713958380352917,-4.575039055206386,1.8661976303316579,-7.214241054089948,-1.9358370563228244,-4.58% ± 2.64%p,True,-1629.0495342386166,240,41,143,-6.516154315395114,1.6298992358191482,17.040978749593098,15.92609437306722,46.750887782975376,0.36450599245729565,하,0.02154907794628258,3.772956795945596
460,도곡로 327 공영주차장(구),강남구,강남구 역삼2동,3,19,2660,15.352739224879263,-0.7022693751943017,-4.57369352608319,0.36270838936333,-5.086640649507313,-4.060746402659067,-4.57% ± 0.51%p,True,-1868.0365380168423,93,42,90,-5.447493423014417,0.3297423827915503,18.833235422770183,17.80658022562663,57.35623500733645,0.3283555034663837,하,0.0013455291231965205,3.802236694983644
67,교통광장 공영주차장(구),강북구,강북구 우이동,3,10,1943,11.31218039601216,-0.5127855582750603,-4.533888989022816,0.4174355195183434,-5.1242319621419155,-3.9435460159037157,-4.53% ± 0.59%p,False,-996.3423397284422,98,43,227,-5.491291789444456,0.887159327374573,14.510480880737305,13.711536407470703,34.1658345343794,0.4247073451736155,하,0.03980453706037412,1.106001426165609
469,삼전동(건축물식)(구),송파구,송파구 삼전동 · 송파구 석촌동,3,21,3744,13.454126121064384,-0.6021578364489747,-4.4742636745402935,0.7765176301647598,-5.572425438541112,-3.376101910539475,-4.47% ± 1.10%p,True,-2254.478939664961,150,44,27,-6.123884682746431,1.7074715616854672,17.742427190144856,16.65249506632487,43.685994124880025,0.4061353654772434,하,0.059625314482522285,1.7632152936181604
238,시립은혜로운집,은평구,은평구 구산동 · 은평구 신사1동,3,14,4545,11.719145607310196,-0.5208660160285857,-4.442434757682361,0.38433088314581265,-4.985960705065998,-3.8989088102987237,-4.44% ± 0.54%p,True,-2367.3360428499223,103,45,19,-6.117132175769359,0.38135520143160795,15.735545794169107,14.771905581156412,37.926349938508295,0.4148974478082351,하,0.031828916857932654,1.7328472035310385
