주차장명,주소,자치구,법정동,법정동코드,면수,위도,경도,소스,공공근거,UPIS대분류,UPIS시설명,고시번호,옥내외,옥내자주,옥외자주,현행차고지,현행차고지거리m,운영시간,급지,이용효율
송파 산모건강증진센터,서울특별시 송파구 장지동  841-1,송파구,장지동,11710109,14.0,37.47792788,127.1271341013,KOTSA,U_UPIS,공공청사,공공청사,11000NTC201011185616,옥외,0.0,14.0,,,,,
청담문화센터,서울특별시 강남구 청담동  124-1,강남구,청담동,11680104,20.0,37.5250617672,127.0492421112,KOTSA,U_UPIS,공공청사,청담동사무소,11000NTC197910153455,혼합,8.0,12.0,,,,,
강남세무서,서울특별시 강남구 청담동  45,강남구,청담동,11680104,96.0,37.5187267962,127.0470841838,KOTSA,U_UPIS,공공청사,공공청사,11000NTC201206216516,옥내,96.0,0.0,,,,,
기계설비건설회관,서울특별시 강남구 청담동  45-1,강남구,청담동,11680104,15.0,37.5189247718,127.0476951463,KOTSA,U_UPIS,공공청사,공공청사,11000NTC201206216516,혼합,8.0,7.0,,,,,
공공업무시설,서울특별시 강남구 삼성동  20-2,강남구,삼성동,11680105,12.0,37.516267572,127.0502091139,KOTSA,U_UPIS,공공청사,기타공공청사시설,,옥외,0.0,12.0,,,,,
대치평생학습관,서울특별시 강남구 대치동  994-17,강남구,대치동,11680106,26.0,37.4999763073,127.0669580779,KOTSA,U_UPIS,공공청사,대치2동사무소,11000NTC199408224719,옥내,26.0,0.0,,,,,
개포2문화센터,서울특별시 강남구 개포동  182,강남구,개포동,11680103,16.0,37.4897828978,127.0690792959,KOTSA,U_UPIS,공공청사,"청사(공공업무시설,근린공공시설)",,옥내,16.0,0.0,,,,,
강남 장애인(문화)복지관,서울특별시 강남구 개포동  12-10,강남구,개포동,11680103,11.0,37.4919967305,127.0734642198,KOTSA,U_UPIS,공공청사,기타공공청사시설,,옥외,0.0,11.0,,,,,
사회복지법인능인선원,서울특별시 강남구 개포동  1055,강남구,개포동,11680103,113.0,37.4717027668,127.0525125789,KOTSA,U_UPIS,사회복지시설,사회복지시설,11000NTC198904190552,옥내,113.0,0.0,,,,,
강남드림빌,서울특별시 강남구 개포동  1057-9,강남구,개포동,11680103,20.0,37.4704925135,127.0509019695,KOTSA,U_UPIS,사회복지시설,사회복지시설,,옥외,0.0,13.0,,,,,
강남스포츠문화센터,서울특별시 강남구 수서동  718,강남구,수서동,11680115,69.0,37.4889740581,127.1053387887,KOTSA,U_UPIS,사회복지시설,사회복지시설,11000NTC199003191412,혼합,43.0,26.0,,,,,
